"Sample IDs","Dilutions","MPR","MS","TtT","RAF"
"P",-3,9.1158940397351,2.6107432,11.372009569378,0.087935205637951
" 1",-1,1.10544217687075,0.237339555555556,72,0.0138888888888889
" 2",-1,1.07308970099668,0.2155776,72,0.0138888888888889
" 3",-1,1.11,0.219259111111111,72,0.0138888888888889
" 4",-1,1.19387755102041,0.217686888888889,72,0.0138888888888889
" 5",-1,1.14583333333333,0.208333155555556,72,0.0138888888888889
" 6",-1,1.12627986348123,0.201744355555556,72,0.0138888888888889
" 7",-1,1.14285714285714,0.201316133333333,72,0.0138888888888889
" 8",-1,1.16494845360825,0.184803555555556,72,0.0138888888888889
" 9",-1,1.14189189189189,0.187687688888889,72,0.0138888888888889
"10",-1,1.17013888888889,0.199074222222222,72,0.0138888888888889
"11",-1,1.13986013986014,0.177156266666667,72,0.0138888888888889
"P",-3,9.73076923076923,3.11680911111111,12.7605263157895,0.0783666735409363
" 1",-1,1.2246835443038,0.250351822222222,72,0.0138888888888889
" 2",-1,1.15555555555556,0.249735377777778,72,0.0138888888888889
" 3",-1,1.1131498470948,0.236493333333333,72,0.0138888888888889
" 4",-1,1.08544303797468,0.241913022222222,72,0.0138888888888889
" 5",-1,1.12025316455696,0.247538888888889,72,0.0138888888888889
" 6",-1,1.17610062893082,0.219426888888889,72,0.0138888888888889
" 7",-1,1.02786377708978,0.2242864,72,0.0138888888888889
" 8",-1,3.92434210526316,0.834795333333333,37.3310185185185,0.0267873752092764
" 9",-1,4.58249158249158,1.16722782222222,28.0673076923077,0.0356286399451867
"10",-1,1.10289389067524,0.221507777777778,72,0.0138888888888889
"11",-1,9.82258064516129,2.99498208888889,52.5669191919192,0.019023370883674
"P",-3,13.1081081081081,3.22455791111111,9.97959183673469,0.100204498977505
" 1",-1,1.109375,0.254166666666667,72,0.0138888888888889
" 2",-1,1.07250755287009,0.252433822222222,72,0.0138888888888889
" 3",-1,1.06489675516224,0.245165422222222,72,0.0138888888888889
" 4",-1,1.13981762917933,0.266126355555556,72,0.0138888888888889
" 5",-1,1.03529411764706,0.222222177777778,72,0.0138888888888889
" 6",-1,3.03647416413374,0.564674088888889,52.5464601769911,0.0190307776514673
" 7",-1,2.99375,0.583333333333333,55.2660550458716,0.0180942895086321
" 8",-1,1.0809968847352,0.221530133333333,72,0.0138888888888889
" 9",-1,1.08333333333333,0.230769288888889,72,0.0138888888888889
"10",-1,2.52768729641694,0.4039088,61.9838709677419,0.0161332292479833
"11",-1,3.19620253164557,0.555555555555556,44.9487410071942,0.0222475641718184
"P",-3,11.171686746988,3.48995982222222,6.43231441048035,0.155465037338764
" 1",-1,1.22289156626506,0.244979911111111,72,0.0138888888888889
" 2",-1,1.11834319526627,0.260354844444444,72,0.0138888888888889
" 3",-1,1.10057471264368,0.242656533333333,72,0.0138888888888889
" 4",-1,1.1566265060241,0.2436412,72,0.0138888888888889
" 5",-1,1.14035087719298,0.210526488888889,72,0.0138888888888889
" 6",-1,1.09063444108761,0.220208088888889,72,0.0138888888888889
" 7",-1,1.20426829268293,0.2303524,72,0.0138888888888889
" 8",-1,1.05607476635514,0.2284528,72,0.0138888888888889
" 9",-1,1.06501547987616,0.227038,72,0.0138888888888889
"10",-1,1.1,0.232592755555556,72,0.0138888888888889
"11",-1,1.05993690851735,0.203294577777778,72,0.0138888888888889
"N",-3,1.08852459016393,0.189435377777778,72,0.0138888888888889
"12",-1,1.10377358490566,0.227812533333333,72,0.0138888888888889
"13",-1,1.128125,0.209722222222222,72,0.0138888888888889
"14",-1,1.128125,0.204166666666667,72,0.0138888888888889
"15",-1,1.10280373831776,0.2173764,72,0.0138888888888889
"16",-1,1.24050632911392,0.227848088888889,72,0.0138888888888889
"17",-1,1.17405063291139,0.199718888888889,72,0.0138888888888889
"18",-1,1.2125,0.209722222222222,72,0.0138888888888889
"19",-1,1.21359223300971,0.215749644444444,72,0.0138888888888889
"20",-1,1.15181518151815,0.214154933333333,72,0.0138888888888889
"21",-1,1.08904109589041,0.214611777777778,72,0.0138888888888889
"22",-1,1.15068493150685,0.199391066666667,72,0.0138888888888889
"N",-3,1.14501510574018,0.200067022222222,72,0.0138888888888889
"12",-1,1.09756097560976,0.231707111111111,72,0.0138888888888889
"13",-1,1.05621301775148,0.218277288888889,72,0.0138888888888889
"14",-1,1.09627329192547,0.238785422222222,72,0.0138888888888889
"15",-1,2.4463768115942,0.480515288888889,63.3292682926829,0.0157904871943
"16",-1,1.12865497076023,0.214425155555556,72,0.0138888888888889
"17",-1,3.8475073313783,0.977517111111111,46.1415094339623,0.0216724596197097
"18",-1,1.08529411764706,0.216993244444444,72,0.0138888888888889
"19",-1,3.76802507836991,0.724486266666667,35.6658163265306,0.0280380516415135
"20",-1,1.03880597014925,0.225539022222222,72,0.0138888888888889
"21",-1,3.55987055016181,0.691837466666667,39.8109137055838,0.0251187402377992
"22",-1,9.35463258785943,2.19240324444444,49.4705882352941,0.0202140309155767
"N",-3,1.15,0.2,72,0.0138888888888889
"12",-1,1.11111111111111,0.245578711111111,72,0.0138888888888889
"13",-1,1.05775075987842,0.237757466666667,72,0.0138888888888889
"14",-1,3.29129129129129,0.955622266666667,66.4887096774194,0.0150401474904786
"15",-1,1.06024096385542,0.2195448,72,0.0138888888888889
"16",-1,1.04011461318052,0.206303822222222,72,0.0138888888888889
"17",-1,3.53197674418605,0.538759688888889,39.6129807692308,0.025244250257904
"18",-1,1.11926605504587,0.214746888888889,72,0.0138888888888889
"19",-1,1.08,0.2037608,72,0.0138888888888889
"20",-1,1.07911392405063,0.229254533333333,72,0.0138888888888889
"21",-1,3.97444089456869,0.871849511111111,35.7183333333333,0.0279968270262704
"22",-1,3.18006430868167,0.577349066666667,52.0366242038217,0.0192172343094954
"N",-3,1.19626168224299,0.192454222222222,72,0.0138888888888889
"12",-1,1.0521472392638,0.242672044444444,72,0.0138888888888889
"13",-1,1.07076923076923,0.236581244444444,72,0.0138888888888889
"14",-1,3.23262839879154,0.624370577777778,57.4221014492754,0.0174148973088936
"15",-1,5.26498422712934,1.50578337777778,37.0007776049767,0.0270264590294853
"16",-1,1.0609756097561,0.211382311111111,72,0.0138888888888889
"17",-1,3.36474164133739,0.643026,49.9993902439024,0.0200002439054135
"18",-1,1.04968944099379,0.205659288888889,72,0.0138888888888889
"19",-1,1.12974683544304,0.215189733333333,72,0.0138888888888889
"20",-1,1.06578947368421,0.217836444444444,72,0.0138888888888889
"21",-1,1.10526315789474,0.201754311111111,72,0.0138888888888889
"22",-1,2.97068403908795,0.683315244444444,62.8967213114754,0.0158990799384888
"P",-3,12.1181818181818,4.60606062222222,9.7584985835694,0.102474780463023
"23",-1,1.22119815668203,0.319508488888889,72,0.0138888888888889
"24",-1,1.23255813953488,0.322480533333333,72,0.0138888888888889
"25",-1,1.29864253393665,0.311714622222222,72,0.0138888888888889
"26",-1,1.18303571428571,0.317460177777778,72,0.0138888888888889
"27",-1,1.23636363636364,0.335353688888889,72,0.0138888888888889
"28",-1,1.21395348837209,0.308010222222222,72,0.0138888888888889
"29",-1,1.18636363636364,0.303030177777778,72,0.0138888888888889
"30",-1,1.22272727272727,0.321212222222222,72,0.0138888888888889
"31",-1,1.16744186046512,0.3307492,72,0.0138888888888889
"32",-1,1.20814479638009,0.325791822222222,72,0.0138888888888889
"33",-1,1.17452830188679,0.333333244444444,72,0.0138888888888889
"P",-3,9.91845493562232,3.22365284444444,12.4450301204819,0.0803533611665759
"23",-1,1.31535269709544,0.298755111111111,72,0.0138888888888889
"24",-1,1.13833992094862,0.300395288888889,72,0.0138888888888889
"25",-1,1.04897959183673,0.313832,72,0.0138888888888889
"26",-1,1.0746887966805,0.300599377777778,72,0.0138888888888889
"27",-1,1.125,0.307407422222222,72,0.0138888888888889
"28",-1,1.09128630705394,0.298755288888889,72,0.0138888888888889
"29",-1,1.10878661087866,0.299395777777778,72,0.0138888888888889
"30",-1,1.15652173913043,0.322705288888889,72,0.0138888888888889
"31",-1,1.14035087719298,0.331383911111111,72,0.0138888888888889
"32",-1,1.0875,0.292592755555556,72,0.0138888888888889
"33",-1,1.09583333333333,0.311110977777778,72,0.0138888888888889
"P",-3,9.49180327868852,3.18943533333333,10.6435309973046,0.0939537828426717
"23",-1,1.06584362139918,0.318244,72,0.0138888888888889
"24",-1,1.11570247933884,0.314049377777778,72,0.0138888888888889
"25",-1,4.33061224489796,1.18639453333333,52.2155898876404,0.0191513684352095
"26",-1,1.07874015748032,0.3097112,72,0.0138888888888889
"27",-1,1.1522633744856,0.314586,72,0.0138888888888889
"28",-1,1.12083333333333,0.325925911111111,72,0.0138888888888889
"29",-1,1.13389121338912,0.323570444444444,72,0.0138888888888889
"30",-1,1.14705882352941,0.323062577777778,72,0.0138888888888889
"31",-1,1.08571428571429,0.312018088888889,72,0.0138888888888889
"32",-1,1.09504132231405,0.308539822222222,72,0.0138888888888889
"33",-1,1.15189873417722,0.292545733333333,72,0.0138888888888889
"P",-3,8.50396825396825,2.8447972,9.88641596316193,0.101148889923925
"23",-1,1.3655462184874,0.323062533333333,72,0.0138888888888889
"24",-1,1.07751937984496,0.292851066666667,72,0.0138888888888889
"25",-1,1.10569105691057,0.310749777777778,72,0.0138888888888889
"26",-1,1.0983606557377,0.309654044444444,72,0.0138888888888889
"27",-1,1.11934156378601,0.340191955555556,72,0.0138888888888889
"28",-1,1.2,0.311110977777778,72,0.0138888888888889
"29",-1,1.12903225806452,0.299283288888889,72,0.0138888888888889
"30",-1,1.09958506224066,0.315352711111111,72,0.0138888888888889
"31",-1,1.09583333333333,0.309259244444444,72,0.0138888888888889
"32",-1,1.1358024691358,0.316415111111111,72,0.0138888888888889
"33",-1,1.11814345991561,0.301922355555556,72,0.0138888888888889
"N",-3,1.10169491525424,0.2655368,72,0.0138888888888889
"34",-1,1.16371681415929,0.289085555555556,72,0.0138888888888889
"35",-1,1.14611872146119,0.3145612,72,0.0138888888888889
"36",-1,8.88839285714286,3.12301586666667,65.765625,0.0152055119980993
"37",-1,1.14601769911504,0.306784577777778,72,0.0138888888888889
"38",-1,1.26818181818182,0.303030088888889,72,0.0138888888888889
"39",-1,1.2,0.319191777777778,72,0.0138888888888889
"40",-1,1.30046948356808,0.290036444444444,72,0.0138888888888889
"41",-1,1.26940639269406,0.316590533333333,72,0.0138888888888889
"42",-1,1.27488151658768,0.330700444444444,72,0.0138888888888889
"43",-1,1.26570048309179,0.311326,72,0.0138888888888889
"44",-1,1.15596330275229,0.287461866666667,72,0.0138888888888889
"N",-3,1.1516393442623,0.224043955555556,72,0.0138888888888889
"34",-1,1.19421487603306,0.286501333333333,72,0.0138888888888889
"35",-1,1.14345991561181,0.300046755555556,72,0.0138888888888889
"36",-1,1.06302521008403,0.295051555555556,72,0.0138888888888889
"37",-1,1.16521739130435,0.295652355555556,72,0.0138888888888889
"38",-1,1.19742489270386,0.310920488888889,72,0.0138888888888889
"39",-1,1.11063829787234,0.285579333333333,72,0.0138888888888889
"40",-1,1.09623430962343,0.314272222222222,72,0.0138888888888889
"41",-1,1.1008064516129,0.292114533333333,72,0.0138888888888889
"42",-1,1.1858407079646,0.291052311111111,72,0.0138888888888889
"43",-1,1.15789473684211,0.302144133333333,72,0.0138888888888889
"44",-1,1.18181818181818,0.273645466666667,72,0.0138888888888889
"N",-3,1.11914893617021,0.228841822222222,72,0.0138888888888889
"34",-1,1.17768595041322,0.282828133333333,72,0.0138888888888889
"35",-1,1.13559322033898,0.301318444444444,72,0.0138888888888889
"36",-1,3.47033898305085,0.975517866666667,69.1043233082707,0.0144708746446883
"37",-1,1.20816326530612,0.286621244444444,72,0.0138888888888889
"38",-1,1.15062761506276,0.304974355555556,72,0.0138888888888889
"39",-1,1.26271186440678,0.314501022222222,72,0.0138888888888889
"40",-1,6.56485355648536,1.71083217777778,63.1633435582822,0.0158319674619074
"41",-1,1.10373443983402,0.280313377777778,72,0.0138888888888889
"42",-1,1.11158798283262,0.303290444444444,72,0.0138888888888889
"43",-1,1.38559322033898,0.278719511111111,72,0.0138888888888889
"44",-1,2.99180327868852,0.528233155555556,50.9967105263158,0.0196091079145972
"N",-3,1.09504132231405,0.202020088888889,72,0.0138888888888889
"34",-1,1.09787234042553,0.274231866666667,72,0.0138888888888889
"35",-1,1.11158798283262,0.267048088888889,72,0.0138888888888889
"36",-1,1.11304347826087,0.260869511111111,72,0.0138888888888889
"37",-1,1.40086206896552,0.273946311111111,72,0.0138888888888889
"38",-1,1.13247863247863,0.273504266666667,72,0.0138888888888889
"39",-1,1.12340425531915,0.2931444,72,0.0138888888888889
"40",-1,1.11392405063291,0.285044355555556,72,0.0138888888888889
"41",-1,1.12605042016807,0.261437777777778,72,0.0138888888888889
"42",-1,1.11587982832618,0.280400533333333,72,0.0138888888888889
"43",-1,1.13215859030837,0.276064711111111,72,0.0138888888888889
"44",-1,1.11157024793388,0.240587688888889,72,0.0138888888888889
"P",-3,7.46969696969697,2.41582488888889,11.2933526011561,0.0885476647472809
"45",-1,1.11278195488722,0.242272355555556,72,0.0138888888888889
"46",-1,1.13513513513514,0.257400444444444,72,0.0138888888888889
"47",-1,1.11698113207547,0.2498952,72,0.0138888888888889
"48",-1,1.08960573476703,0.234169777777778,72,0.0138888888888889
"49",-1,3.15555555555556,0.781893022222222,56.8125,0.0176017601760176
"50",-1,1.13405797101449,0.231884222222222,72,0.0138888888888889
"51",-1,1.12857142857143,0.233333511111111,72,0.0138888888888889
"52",-1,1.12363636363636,0.229494888888889,72,0.0138888888888889
"53",-1,1.14492753623188,0.225442933333333,72,0.0138888888888889
"54",-1,1.13571428571429,0.207936444444444,72,0.0138888888888889
"55",-1,1.16304347826087,0.196457155555556,72,0.0138888888888889
"P",-3,8.89492753623188,2.61030595555556,14.4504175365344,0.0692021526348106
"45",-1,1.08741258741259,0.229992222222222,72,0.0138888888888889
"46",-1,1.16376306620209,0.235385022222222,72,0.0138888888888889
"47",-1,1.18505338078292,0.257809333333333,72,0.0138888888888889
"48",-1,1.0958904109589,0.246575377777778,72,0.0138888888888889
"49",-1,1.16438356164384,0.242009333333333,72,0.0138888888888889
"50",-1,1.11262798634812,0.241183022222222,72,0.0138888888888889
"51",-1,1.19791666666667,0.253086222222222,72,0.0138888888888889
"52",-1,1.1551724137931,0.236015244444444,72,0.0138888888888889
"53",-1,1.13058419243986,0.236731555555556,72,0.0138888888888889
